from_waypoint,to_waypoint,distance_meters
wp_MGN,wp_47,14.00
wp_47,wp_48,8.00
wp_48,wp_47,8.00
wp_48,wp_49,13.00
wp_49,wp_48,13.00
wp_49,wp_50,6.00
wp_50,wp_49,6.00
wp_50,wp_Chapel,30.00
wp_Chapel,wp_50,30.00
wp_50,wp_51,18.00
wp_51,wp_50,18.00
wp_51,wp_52,12.00
wp_52,wp_51,12.00
wp_52,wp_53,17.00
wp_53,wp_52,17.00
wp_53,wp_54,17.00
wp_54,wp_53,17.00
wp_54,wp_55,13.00
wp_55,wp_54,13.00
wp_55,wp_APS,10.00
wp_APS,wp_55,10.00
wp_55,wp_56,22.00
wp_56,wp_55,22.00
wp_56,wp_57,19.00
wp_57,wp_56,19.00
wp_57,wp_58,17.00
wp_58,wp_57,17.00
wp_58,wp_59,20.00
wp_59,wp_58,20.00
wp_59,wp_60,16.00
wp_60,wp_59,16.00
wp_60,wp_Foundation,10.00
wp_Foundation,wp_60,10.00
wp_60,wp_61,17.00
wp_61,wp_60,17.00
wp_61,wp_62,8.00
wp_62,wp_61,8.00
wp_62,wp_Covered_Court,3.00
wp_Covered_Court,wp_62,3.00
wp_62,wp_63,5.00
wp_63,wp_62,5.00
wp_63,wp_64,70.00
wp_64,wp_63,70.00
wp_64,wp_SH,6.00
wp_SH,wp_64,6.00
wp_64,wp_65,68.00
wp_65,wp_64,68.00
wp_65,wp_APS,9.00
wp_APS,wp_65,9.00
wp_65,wp_41,45.00
wp_41,wp_65,45.00
wp_66,wp_61,11.00
wp_61,wp_66,11.00
wp_66,wp_IH_Gym,9.00
wp_IH_Gym,wp_66,9.00
wp_66,wp_Annex,47.00
wp_Annex,wp_66,47.00
wp_Annex,wp_SJH,66.00
wp_SJH,wp_Annex,66.00
wp_67,wp_60,30.00
wp_60,wp_67,30.00
wp_67,wp_68,53.00
wp_68,wp_67,53.00
wp_68,wp_69,9.00
wp_69,wp_68,9.00
wp_69,wp_70,8.00
wp_70,wp_69,8.00
wp_70,wp_71,11.00
wp_71,wp_70,11.00
wp_71,wp_72,8.00
wp_72,wp_71,8.00
wp_72,wp_73,7.00
wp_73,wp_72,7.00
wp_73,wp_74,8.00
wp_74,wp_73,8.00
wp_74,wp_49,10.00
wp_49,wp_74,10.00
wp_75,wp_73,34.00
wp_73,wp_75,34.00
wp_75,wp_SJH,46.00
wp_SJH,wp_75,46.00
wp_75,wp_76,14.00
wp_76,wp_75,14.00
wp_76,wp_MGN,36.00
wp_MGN,wp_76,36.00
